site,date,eto,vpd_medio,t_media,rh_media
la_esperanza,2022-11-16,5.4,21.9,27.637,41.138
rio_claro,2022-11-16,0,19.1,26.42,44.747
la_esperanza,2022-11-17,5.6,22.925,27.57,37.865
rio_claro,2022-11-17,5.4,21.175,26.85,40.339
la_esperanza,2022-11-18,5.5,22.35,27.558,39.532
rio_claro,2022-11-18,5.2,13.538,23.881,54.451
la_esperanza,2022-11-19,5.2,22.5,26.843,36.228
rio_claro,2022-11-19,4.8,13.425,23.185,52.735
la_esperanza,2022-11-20,5.5,22.6,25.32,30.05
rio_claro,2022-11-20,5,12.812,21.368,49.973
la_esperanza,2022-11-21,5.3,29.2,28.82,26.738
rio_claro,2022-11-21,5.3,19.675,24.907,38.084
la_esperanza,2022-11-22,5.6,30.175,29.602,27.25
rio_claro,2022-11-22,5.4,22.625,26.752,35.53
la_esperanza,2022-11-23,5.7,31.625,30.562,27.892
rio_claro,2022-11-23,5.6,19.9,26.679,43.105
la_esperanza,2022-11-24,4.7,11.45,23.118,59.267
rio_claro,2022-11-24,5.3,18.075,26.598,47.894
la_esperanza,2022-11-25,5.2,16.9,26.683,51.495
rio_claro,2022-11-25,5.7,23.825,29.087,40.826
la_esperanza,2022-11-26,5.5,20.7,28.477,46.66
rio_claro,2022-11-26,6.1,25.288,29.638,39.14
la_esperanza,2022-11-27,4.2,8.5,21.035,65.695
rio_claro,2022-11-27,5.6,16.837,26.175,50.259
la_esperanza,2022-11-28,3.7,6.25,19.215,72.032
rio_claro,2022-11-28,5.3,10.663,22.466,60.701
la_esperanza,2022-11-29,2.2,4.05,18.197,80.387
rio_claro,2022-11-29,4.4,8.625,21.186,65.613
la_esperanza,2022-11-30,3.7,7.225,19.455,68.425
rio_claro,2022-11-30,5.3,6.662,18.969,69.298
la_esperanza,2022-12-01,5.3,23.325,26.368,32.172
rio_claro,2022-12-01,5.5,16.45,23.375,42.781
la_esperanza,2022-12-02,5.6,22.675,26.157,37.045
rio_claro,2022-12-02,5.7,23.25,26.368,32.261
la_esperanza,2022-12-03,5.6,21.7,26.41,37.165
rio_claro,2022-12-03,5.7,22.325,26.029,33.525
la_esperanza,2022-12-04,6,28.2,29.74,32.695
rio_claro,2022-12-04,0,20.613,26.506,40.57
la_esperanza,2022-12-05,6,31.625,30.165,26.225
rio_claro,2022-12-05,5.7,30.137,28.755,23.609
la_esperanza,2022-12-06,6.1,32.05,30.657,27.33
rio_claro,2022-12-06,5.9,24.3,27.565,34.019
la_esperanza,2022-12-07,5.8,31.275,29.872,25.613
rio_claro,2022-12-07,0,27.575,27.952,26.696
la_esperanza,2022-12-08,6,30.525,30.105,28.752
rio_claro,2022-12-08,6,24.35,27.54,33.835
la_esperanza,2022-12-09,6.1,27.45,30.198,36.192
rio_claro,2022-12-09,6,21.562,27.735,42.02
la_esperanza,2022-12-10,6.2,27,30.123,37.01
rio_claro,2022-12-10,6,18.788,26.874,46.94
la_esperanza,2022-12-11,6,32.825,30.15,23.345
rio_claro,2022-12-11,5.9,19,25.555,42.021
la_esperanza,2022-12-12,6.3,27.55,27.873,26.512
rio_claro,2022-12-12,5.7,17.325,24.045,42.028
la_esperanza,2022-12-13,6.2,31.35,30.15,26.98
rio_claro,2022-12-13,5.9,28.1,28.274,27.213
la_esperanza,2022-12-14,5.9,24.625,28.325,36.055
rio_claro,2022-12-14,6,24.663,28.198,35.414
la_esperanza,2022-12-15,6.4,34.325,31.58,26.355
rio_claro,2022-12-15,6.1,24.825,28.269,35.29
la_esperanza,2022-12-16,5.4,17.625,25.485,45.728
rio_claro,2022-12-16,0,28.863,29.804,31.067
la_esperanza,2022-12-17,4.7,10.625,21.315,58.13
rio_claro,2022-12-17,5.4,17.575,24.449,42.472
la_esperanza,2022-12-18,5.7,21.45,27.282,40.992
rio_claro,2022-12-18,5.8,19.812,26.218,41.772
la_esperanza,2022-12-19,5.8,21.075,25.91,36.96
rio_claro,2022-12-19,5.7,20.663,25.774,37.524
la_esperanza,2022-12-20,5.9,22.25,26.005,33.9
rio_claro,2022-12-20,0,21.162,25.492,35.218
la_esperanza,2022-12-21,6.1,24.225,28.295,37.185
rio_claro,2022-12-21,6,22.712,27.059,36.794
la_esperanza,2022-12-22,5.9,26.325,27.343,27.61
rio_claro,2022-12-22,5.8,23.188,25.724,29.745
la_esperanza,2022-12-23,5.5,17.525,24.825,44.092
rio_claro,2022-12-23,4.7,10.837,21.337,57.426
la_esperanza,2022-12-24,6.1,25.875,27.965,31.5
rio_claro,2022-12-24,5.6,22.525,26.281,34.076
la_esperanza,2022-12-25,5.2,13.725,23.303,51.775
rio_claro,2022-12-25,0,22.7,26.165,33.035
la_esperanza,2022-12-26,4.6,11.775,21.922,55.197
rio_claro,2022-12-26,0,9.5,20.381,60.132
la_esperanza,2022-12-27,5.7,22.925,27.758,38.57
rio_claro,2022-12-27,5.8,21.55,26.884,39.279
la_esperanza,2022-12-28,5.8,27,29.232,33.925
rio_claro,2022-12-28,5.8,22.8,27.009,35.971
la_esperanza,2022-12-29,6.1,32.925,30.917,26.562
rio_claro,2022-12-29,6.3,30.2,29.635,27.544
la_esperanza,2022-12-30,4.8,11.225,22.27,57.985
rio_claro,2022-12-30,5.6,15.838,24.049,47.051
la_esperanza,2022-12-31,1.7,2.525,17.04,87.388
